Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Soil_Type,Season,Water_Usage(cubic meters),Temperature(°C),Humidity(%),Yield(tons)
1,Barley,41,Sprinkler,Sandy,Winter,3708,38.8,30,9.8
2,Soybean,28,Drip,Sandy,Spring,4152,24.0,48,12.5
3,Corn,33,Sprinkler,Loamy,Winter,2750,36.4,60,11.2
4,Soybean,35,Sprinkler,Clay,Summer,2508,10.2,43,8.0
5,Soybean,39,Drip,Loamy,Summer,3421,34.6,82,9.3
6,Rice,37,Drip,Loamy,Summer,4023,16.9,77,6.7
7,Corn,25,Drip,Loamy,Summer,1709,37.3,98,5.7
8,Corn,36,Surface,Loamy,Winter,2223,10.0,91,12.8
9,Corn,27,Drip,Clay,Spring,4608,26.7,95,7.7
10,Soybean,37,Sprinkler,Loamy,Spring,3513,32.7,93,6.8
11,Barley,7,Drip,Clay,Monsoon,2112,17.8,99,11.9
12,Corn,22,Surface,Clay,Winter,2291,15.8,92,11.2
13,Soybean,29,Drip,Sandy,Summer,4726,12.5,62,11.3
14,Rice,46,Surface,Clay,Winter,4642,19.8,70,7.3
15,Barley,35,Surface,Sandy,Monsoon,4993,26.8,77,7.3
16,Rice,7,Drip,Clay,Monsoon,1488,13.5,42,7.2
17,Barley,44,Sprinkler,Clay,Winter,4948,21.3,60,6.7
18,Soybean,28,Surface,Clay,Winter,2561,10.3,97,11.6
19,Wheat,36,Drip,Sandy,Winter,1046,34.6,33,13.5
20,Barley,26,Drip,Sandy,Spring,4359,13.9,48,12.2
21,Rice,27,Sprinkler,Loamy,Summer,1777,18.5,99,12.9
22,Soybean,6,Surface,Sandy,Winter,2039,10.6,42,9.0
23,Barley,31,Surface,Sandy,Winter,1710,23.0,52,11.5
24,Wheat,46,Drip,Sandy,Winter,1400,35.2,30,8.5
25,Wheat,6,Drip,Sandy,Monsoon,4990,21.8,83,10.3
26,Corn,30,Sprinkler,Loamy,Monsoon,2817,15.4,44,9.8
27,Corn,21,Sprinkler,Sandy,Spring,4028,32.6,94,6.8
28,Rice,44,Surface,Clay,Summer,4157,33.7,44,8.9
29,Barley,37,Surface,Clay,Spring,1249,15.2,50,14.6
30,Barley,13,Drip,Sandy,Summer,1390,33.1,48,7.5
31,Corn,47,Surface,Sandy,Monsoon,4853,38.4,89,6.3
32,Barley,43,Sprinkler,Clay,Monsoon,1334,15.0,62,9.2
33,Barley,33,Sprinkler,Clay,Monsoon,1628,33.1,78,12.9
34,Wheat,46,Drip,Loamy,Spring,4590,31.3,64,10.8
35,Corn,30,Sprinkler,Clay,Winter,1136,24.2,73,11.8
36,Soybean,39,Sprinkler,Clay,Winter,3930,11.7,40,6.9
37,Corn,29,Sprinkler,Sandy,Monsoon,3735,12.2,95,11.2
38,Soybean,28,Sprinkler,Clay,Winter,4911,35.6,75,8.2
39,Wheat,17,Drip,Loamy,Winter,2521,39.7,38,13.3
40,Rice,11,Drip,Clay,Spring,1826,30.3,32,11.3
41,Barley,40,Surface,Sandy,Summer,1726,23.4,55,7.0
42,Wheat,49,Sprinkler,Sandy,Monsoon,2500,29.4,77,5.6
43,Barley,24,Surface,Clay,Monsoon,3641,27.8,95,5.4
44,Rice,5,Drip,Sandy,Spring,4294,21.5,99,8.7
45,Rice,12,Drip,Loamy,Spring,1989,12.0,57,7.7
46,Wheat,20,Drip,Loamy,Winter,3419,34.6,55,11.5
47,Rice,18,Drip,Clay,Monsoon,1934,21.2,54,10.0
48,Soybean,16,Drip,Clay,Summer,4042,34.6,41,7.7
49,Rice,27,Drip,Clay,Spring,1401,17.6,34,6.5
50,Barley,19,Drip,Sandy,Summer,2466,10.0,77,6.3
51,Barley,32,Sprinkler,Loamy,Summer,4561,14.8,66,13.6
52,Barley,38,Surface,Loamy,Monsoon,1614,24.1,73,7.4
53,Barley,6,Drip,Sandy,Monsoon,2296,38.3,44,11.5
54,Soybean,36,Sprinkler,Loamy,Spring,4597,13.1,72,13.1
55,Corn,27,Sprinkler,Clay,Monsoon,2182,35.6,77,11.1
