Farm_ID,Crop_Type,Farm_Area(acres),Irrigation_Type,Soil_Type,Season,Water_Usage(cubic meters),Temperature(°C),Humidity(%),Yield(tons),Nutrient_Content,Rainfall(mm),Sunlight_Hours,Soil_pH,Soil_Moisture_Level
1,Barley,41,Sprinkler,Sandy,Winter,3708,38.8,30,9.8,87.45,241.35,6.69,6.12,73.08
2,Soybean,28,Drip,Sandy,Spring,4152,24.0,48,12.5,145.07,625.08,7.79,5.58,21.72
3,Corn,33,Sprinkler,Loamy,Winter,2750,36.4,60,11.2,123.2,632.51,6.77,6.04,21.55
4,Soybean,35,Sprinkler,Clay,Summer,2508,10.2,43,8.0,109.87,709.94,5.89,7.25,42.65
5,Soybean,39,Drip,Loamy,Summer,3421,34.6,82,9.3,65.6,780.87,6.21,6.76,54.21
6,Rice,37,Drip,Loamy,Summer,4023,16.9,77,6.7,65.6,980.68,9.61,8.18,73.93
7,Corn,25,Drip,Loamy,Summer,1709,37.3,98,5.7,55.81,613.04,7.06,7.95,67.83
8,Corn,36,Surface,Loamy,Winter,2223,10.0,91,12.8,136.62,458.37,8.64,6.53,51.21
9,Corn,27,Drip,Clay,Spring,4608,26.7,95,7.7,110.11,836.15,10.03,6.28,39.15
10,Soybean,37,Sprinkler,Loamy,Spring,3513,32.7,93,6.8,120.81,416.67,11.9,6.64,89.8
11,Barley,7,Drip,Clay,Monsoon,2112,17.8,99,11.9,52.06,551.18,5.39,7.27,49.83
12,Corn,22,Surface,Clay,Winter,2291,15.8,92,11.2,146.99,262.77,12.99,6.3,51.6
13,Soybean,29,Drip,Sandy,Summer,4726,12.5,62,11.3,133.24,220.28,11.28,7.37,31.45
14,Rice,46,Surface,Clay,Winter,4642,19.8,70,7.3,71.23,970.12,5.82,6.73,75.64
15,Barley,35,Surface,Sandy,Monsoon,4993,26.8,77,7.3,68.18,868.78,13.74,7.16,68.56
16,Rice,7,Drip,Clay,Monsoon,1488,13.5,42,7.2,68.34,756.78,14.21,6.81,35.45
17,Barley,44,Sprinkler,Clay,Winter,4948,21.3,60,6.7,80.42,527.16,5.61,6.38,25.77
18,Soybean,28,Surface,Clay,Winter,2561,10.3,97,11.6,102.48,338.64,7.77,8.35,67.63
19,Wheat,36,Drip,Sandy,Winter,1046,34.6,33,13.5,93.19,325.15,13.06,7.79,65.82
20,Barley,26,Drip,Sandy,Spring,4359,13.9,48,12.2,79.12,400.19,12.48,5.92,39.13
21,Rice,27,Sprinkler,Loamy,Summer,1777,18.5,99,12.9,111.19,639.38,6.85,8.11,86.56
22,Soybean,6,Surface,Sandy,Winter,2039,10.6,42,9.0,63.95,771.68,7.09,6.96,30.57
23,Barley,31,Surface,Sandy,Winter,1710,23.0,52,11.5,79.21,728.16,8.7,8.18,50.26
24,Wheat,46,Drip,Sandy,Winter,1400,35.2,30,8.5,86.64,423.95,9.85,7.9,86.05
25,Wheat,6,Drip,Sandy,Monsoon,4990,21.8,83,10.3,95.61,963.89,11.18,6.78,49.38
26,Corn,30,Sprinkler,Loamy,Monsoon,2817,15.4,44,9.8,128.52,790.32,8.69,5.57,64.7
27,Corn,21,Sprinkler,Sandy,Spring,4028,32.6,94,6.8,69.97,643.48,9.63,6.31,47.83
28,Rice,44,Surface,Clay,Summer,4157,33.7,44,8.9,101.42,689.38,12.47,7.12,39.2
29,Barley,37,Surface,Clay,Spring,1249,15.2,50,14.6,109.24,535.68,5.37,7.4,88.88
30,Barley,13,Drip,Sandy,Summer,1390,33.1,48,7.5,54.65,398.18,7.52,6.27,48.65
31,Corn,47,Surface,Sandy,Monsoon,4853,38.4,89,6.3,110.75,484.78,12.13,5.92,82.59
32,Barley,43,Sprinkler,Clay,Monsoon,1334,15.0,62,9.2,67.05,806.28,13.95,8.0,36.1
33,Barley,33,Sprinkler,Clay,Monsoon,1628,33.1,78,12.9,56.51,211.51,10.12,8.45,34.92
34,Wheat,46,Drip,Loamy,Spring,4590,31.3,64,10.8,144.89,292.86,10.32,7.08,22.18
35,Corn,30,Sprinkler,Clay,Winter,1136,24.2,73,11.8,146.56,236.8,6.07,6.02,65.62
36,Soybean,39,Sprinkler,Clay,Winter,3930,11.7,40,6.9,130.84,232.58,9.47,6.32,45.8
37,Corn,29,Sprinkler,Sandy,Monsoon,3735,12.2,95,11.2,80.46,884.37,10.33,5.56,80.51
